id,correctAnswer
102501,C
102502,C
102503,B
102504,C
102505,D
102506,C
102507,C
102508,C
102509,C
102510,A
102511,A
102512,C
102513,A
102514,C
102515,C
102516,A
102517,C
102518,C
102519,C
102520,C
102521,C
102522,B
102523,C
102524,C
102525,C
102526,C
102527,C
102528,D
102529,C
102530,B
102531,D
102532,C
102533,C
102534,C
102535,C
102536,C
102537,C
102538,A
102539,D
102540,C
102541,D
102542,C
102543,C
102544,D
102545,C
102546,B
102547,C
102548,C
102549,C
102550,C
102551,C
102552,C
102553,C
102554,C
102555,C
102556,C
102557,A
102558,D
102559,B
102560,A
102561,C
102562,C
102563,C
102564,C
102565,A
102566,B
102567,C
102568,C
102569,C
102570,D
102571,C
102572,C
102573,C
102574,C
102575,C
102576,C
102577,A
102578,A
102579,C
102580,C
102581,C
102582,B
102583,C
102584,D
102585,A
102586,C
102587,C
102588,C
102589,A
102590,D
102591,C
102592,C
102593,C
102594,C
102595,C
102596,B
102597,C
102598,A
102599,D
102600,D
102601,C
102602,C
102603,D
102604,C
102605,C
102606,D
102607,C
102608,C
102609,C
102610,A
102611,B
102612,C
102613,C
102614,C
102615,D
102616,C
102617,C
102618,C
102619,D
102620,C
102621,C
102622,C
102623,B
102624,C
102625,C
102626,C
102627,A
102628,A
102629,C
102630,A
102631,C
102632,A
102633,A
102634,C
102635,C
102636,C
102637,C
102638,D
102639,C
102640,C
102641,A
102642,B
102643,C
102644,A
102645,B
102646,A
102647,C
102648,B
102649,C
102650,D
102651,C
102652,B
102653,C
102654,C
102655,C
102656,C
102657,C
102658,C
102659,C
102660,C
102661,B
102662,A
102663,C
102664,C
102665,C
102666,C
102667,C
102668,B
102669,C
102670,C
102671,C
102672,C
102673,D
102674,C
102675,C
102676,C
102677,C
102678,C
102679,C
102680,A
102681,D
102682,C
102683,C
102684,D
102685,C
102686,C
102687,A
102688,C
102689,C
102690,C
102691,C
102692,B
102693,B
102694,C
102695,C
102696,C
102697,A
102698,C
102699,C
102700,C
102701,B
102702,C
102703,C
102704,C
102705,C
102706,A
102707,D
102708,C
102709,A
102710,B
102711,C
102712,C
102713,B
102714,D
102715,C
102716,C
102717,C
102718,B
102719,B
102720,C
102721,D
102722,C
102723,B
102724,D
102725,C
102726,C
102727,C
102728,C
102729,C
102730,C
102731,B
102732,D
102733,C
102734,B
102735,C
102736,D
102737,C
102738,C
102739,A
102740,C
102741,C
102742,C
102743,D
102744,B
102745,C
102746,C
102747,B
102748,C
102749,C
102750,C
102751,C
102752,D
102753,C
102754,C
102755,C
102756,B
102757,C
102758,A
102759,C
102760,B
102761,C
102762,D
102763,C
102764,C
102765,C
102766,C
102767,C
102768,C
102769,C
102770,C
102771,D
102772,C
102773,D
102774,C
102775,A
102776,A
102777,B
102778,C
102779,C
102780,C
102781,B
102782,A
102783,A
102784,A
102785,C
102786,A
102787,C
102788,C
102789,D
102790,C
102791,C
102792,C
102793,D
102794,C
102795,D
102796,C
102797,C
102798,A
102799,C
102800,B
102801,C
102802,A
102803,C
102804,C
102805,D
102806,A
102807,C
102808,C
102809,B
102810,C
102811,C
102812,C
102813,C
102814,D
102815,C
102816,C
102817,D
102818,D
102819,D
102820,C
102821,C
102822,C
102823,C
102824,B
102825,C
102826,C
102827,C
102828,C
102829,C
102830,C
102831,C
102832,C
102833,C
102834,C
102835,C
102836,D
102837,B
102838,A
102839,C
102840,C
102841,C
102842,A
102843,C
102844,C
102845,C
102846,C
102847,D
102848,C
102849,C
102850,C
102851,C
102852,C
102853,C
102854,C
102855,C
102856,B
102857,B
102858,C
102859,B
102860,C
102861,C
102862,D
102863,A
102864,D
102865,D
102866,C
102867,C
102868,C
102869,C
102870,C
102871,A
102872,C
102873,B
102874,C
102875,D
102876,A
102877,D
102878,C
102879,D
102880,C
102881,C
102882,B
102883,B
102884,C
102885,A
102886,C
102887,B
102888,C
102889,B
102890,C
102891,C
102892,B
102893,B
102894,C
102895,C
102896,C
102897,A
102898,D
102899,C
102900,C
102901,A
102902,C
102903,A
102904,C
102905,A
102906,D
102907,B
102908,B
102909,C
102910,C
102911,C
102912,A
102913,A
102914,C
102915,C
102916,D
102917,C
102918,C
102919,C
102920,B
102921,D
102922,C
102923,C
102924,B
102925,B
102926,C
102927,C
102928,D
102929,B
102930,C
102931,C
102932,C
102933,C
102934,B
102935,C
102936,C
102937,C
102938,C
102939,D
102940,D
102941,C
102942,A
102943,B
102944,C
102945,C
102946,C
102947,D
102948,D
102949,D
102950,C
102951,C
102952,D
102953,C
102954,C
102955,C
102956,C
102957,C
102958,D
102959,C
102960,C
102961,B
102962,C
102963,C
102964,C
102965,C
102966,C
102967,A
102968,C
102969,C
102970,C
102971,A
102972,D
102973,B
102974,C
102975,C
102976,C
102977,A
102978,C
102979,C
102980,C
102981,C
102982,C
102983,C
102984,B
102985,C
102986,C
102987,D
102988,B
102989,C
102990,D
102991,C
102992,C
102993,C
102994,C
102995,C
102996,C
102997,C
102998,B
102999,C
103000,C
103001,B
103002,D
103003,D
103004,C
103005,B
103006,C
103007,C
103008,D
103009,C
103010,B
103011,C
103012,B
103013,C
103014,A
103015,C
103016,C
103017,C
103018,C
103019,C
103020,B
103021,C
103022,A
103023,B
103024,C
